Complete C# Masterclass,"
Learn C# Programming - WPF, Databases, Linq, Collections, Game Development with Unity. Unit Testing TDD"," 4.6 ","Denis Panjuta, Tutorials.eu by Denis Panjuta","5 ","392 ",All Levels,"E£1,199.99","28,010",False
Ultimate C# Masterclass for 2024,"
In-depth .NET programming course from basics to advanced. Focus on clean code, performance and practice."," 4.7 ",Krystyna Ślusarczyk,"43 ","505 ",All Levels,E£999.99,"1,582",True
C# 10 | Ultimate Guide - Beginner to Advanced | Master class,"
Learn C# by doing | C# projects | Bootcamp for C# Interview | Advanced C# | Collections | LINQ | Interview Questions"," 4.6 ",Web University by Harsha Vardhan,"74 ","426 ",All Levels,E£999.99,"3,208",False
C# Basics for Beginners: Learn C# Fundamentals by Coding,"
Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!"," 4.5 ",Mosh Hamedani,"5 ","87 ",Beginner,"E£1,699.99","66,885",False
C# .NET Core 8 with MS SQL Complete Beginner to Master 2023,"
Learn API Development with C# .NET Core 8 and MS SQL Server from Mac, Linux or Windows!"," 4.6 ",Dominic Tripodi,"23 ","121 ",All Levels,E£999.99,"1,252",False
Complete C# Programming Course – Beginner to Expert,"
Learn Professional C# Coding! 27 Hours of Content, 7 Hands-On Projects, 2 Unity 3D Games, 16 Coding Exercises, and more!"," 4.3 ",Robert Gioia,"27 ","550 ",All Levels,"E£1,299.99","1,159",False
"C# Intermediate: Classes, Interfaces and OOP","
An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#"," 4.5 ",Mosh Hamedani,"6 ","45 ",Intermediate,E£999.99,"35,171",True
C# Advanced Topics: Prepare for Technical Interviews,"
Master the confusing C# constructs: Events, Delegates, Lambda Expressions, LINQ, Async/Await and more!"," 4.5 ",Mosh Hamedani,"3 ","21 ",Intermediate,E£999.99,"21,804",False
Complete C# Unity Game Developer 2D,"
Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap"," 4.7 ","GameDev.tv Team, Rick Davidson, Gary Pettie","5 ","140 ",All Levels,"E£1,699.99","101,721",True
Design Patterns in C# and .NET,"
Discover the modern implementation of design patterns with C# and .NET"," 4.4 ",Dmitri Nesteruk,"5 ","173 ",Intermediate,"E£1,199.99","11,461",True
Learn C# for Beginners Crash Course,"
Obtain C# Programming Language Skills With This C# Tutorial. Acquire Essentials Skills To Get a C# Developer Job Today."," 4.7 ","Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy","13 ","157 ",Beginner,"E£1,199.99","1,964",False
Complete C# Unity Game Developer 3D,"
Design & Develop Video Games. Learn C# in Unity Engine. Code Your first 3D Unity games for web, Mac & PC."," 4.7 ","Ben Tristem, Rick Davidson, GameDev.tv Team, Gary Pettie","5 ","205 ",All Levels,"E£1,299.99","40,747",True
Beginning Object-oriented Programming with C#,"
Learn OOP fundamentals applied to the C# programming language"," 4.6 ",Zoran Horvat,"7 ","91 ",Beginner,E£849.99,759,False
LINQ Tutorial: Master the Key C# Library,"
Learn every method from LINQ by practice. Lots of coding exercises! Become fluent in the most useful .NET library."," 4.8 ",Krystyna Ślusarczyk,"6 ","150 ",All Levels,E£999.99,591,True
C#/.NET - 50 Essential Interview Questions (Junior Level),"
Get ready for your next interview. An in-depth guide to C# fundamentals, SOLID principles and popular design patterns."," 4.8 ",Krystyna Ślusarczyk,"5 ","57 ",All Levels,E£999.99,464,False
Advanced Topics in C#,"
A discussion of the more complicated aspects of the C# language"," 4.4 ",Dmitri Nesteruk,"5 ","45 ",Expert,E£629.99,606,False
Programming in C# 11 - From Beginner to Advanced,"
Learn C# to develop applications!"," 4.5 ",Felipe Gavilán,"5 ","293 ",Beginner,E£649.99,73,False
C# in 6 Hours: From Beginner to Pro!,"
Master the Fundamentals and Level Up Your C# Programming Skills Quickly and Easily!"," 4.6 ",Patrick Videos,"7 ","85 ",Beginner,E£849.99,400,False
Learn C# Programming (In Ten Easy Steps),"
The simplest way to learn C# programming."," 4.5 ",Huw Collingbourne,"5 ","127 ",Beginner,E£849.99,"1,623",False
C# Intermediate Programming : The First Steps,"
A Great Way To Extend Your C# Beginner Skills By Solving More Advanced Real World Problems Using Windows Form Apps"," 4.4 ",Charlie Chiarelli,"31 ","226 ",Intermediate,E£269.99,857,False
Complete C# Masterclass,"
Learn C# Programming - WPF, Databases, Linq, Collections, Game Development with Unity. Unit Testing TDD"," 4.6 ","Denis Panjuta, Tutorials.eu by Denis Panjuta","5 ","392 ",All Levels,"E£1,199.99","28,010",False
Ultimate C# Masterclass for 2024,"
In-depth .NET programming course from basics to advanced. Focus on clean code, performance and practice."," 4.7 ",Krystyna Ślusarczyk,"43 ","505 ",All Levels,E£999.99,"1,582",True
C# 10 | Ultimate Guide - Beginner to Advanced | Master class,"
Learn C# by doing | C# projects | Bootcamp for C# Interview | Advanced C# | Collections | LINQ | Interview Questions"," 4.6 ",Web University by Harsha Vardhan,"74 ","426 ",All Levels,E£999.99,"3,208",False
C# Basics for Beginners: Learn C# Fundamentals by Coding,"
Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!"," 4.5 ",Mosh Hamedani,"5 ","87 ",Beginner,"E£1,699.99","66,885",False
C# .NET Core 8 with MS SQL Complete Beginner to Master 2023,"
Learn API Development with C# .NET Core 8 and MS SQL Server from Mac, Linux or Windows!"," 4.6 ",Dominic Tripodi,"23 ","121 ",All Levels,E£999.99,"1,252",False
Complete C# Programming Course – Beginner to Expert,"
Learn Professional C# Coding! 27 Hours of Content, 7 Hands-On Projects, 2 Unity 3D Games, 16 Coding Exercises, and more!"," 4.3 ",Robert Gioia,"27 ","550 ",All Levels,"E£1,299.99","1,159",False
"C# Intermediate: Classes, Interfaces and OOP","
An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#"," 4.5 ",Mosh Hamedani,"6 ","45 ",Intermediate,E£999.99,"35,171",True
