Course Name,Description,Rate,Instructor,Total Hours,lectures,Level,Price,Number Of Rated Users,Bestseller
C# Advanced Concepts,"Learn the Fundamentals of C# Programming, Become a C# Developer from Scratch, Complete Guide to C# Programming",4.4,Sandeep Soni,50.5,98,Beginner,E£199.99,310,
C# Programming for Beginners : The First Steps,Introducing Beginners To Programming Windows Form Apps In C# Using A Practical Applications Approach,4.7,Charlie Chiarelli,s18,172,Beginner,E£199.99,537,Bestseller
.NET/ C# Interview Masterclass - Top 500 Questions & Answers,Topics Covered - C# / OOPS / ASP.NET MVC / ADO NET / EF / SQL Server / Web API / .NET Core (with PDF Book),4.7,Happy Rawat,8.5,301,All Levels,E£219.99,882,Bestseller
Learn C# By Building Applications,Learn practical C# with step-by-step approach and building applications to move from C# beginner to C# intermediate.,4.6,Avetis Ghukasyan,13.5,101,All Levels,E£199.99,"2,529",
C# Performance Tricks: How To Radically Speed Up Your Code.,This course will help you speed up your C# code and provides many tricks that every professional developer must know.,4.5,Mark Farragher,4.5,38,All Levels,E£269.99,"1,430",
C# Developers: Double Your Coding Speed with Visual Studio,Fast Coding Techniques that Every C# Developer Must Know,4.2,Mosh Hamedani,2.5,33,All Levels,E£319.99,"3,610",Bestseller
The Complete C# and Object-Oriented Programming Course,The one and only course you need to learn C# 8 and object-oriented programming (C# From A To Z | Source Code Included),4.5,Ahmad Mohey,24.5,297,All Levels,E£199.99,"2,239",
Data Structures and Algorithms: In Depth using C#,"List, Stacks, Queues, Binary Search Trees, Hashing, Heaps, Graphs, Sorting, Searching - Data Structures & Algorithms C#",4.6,Syed Mohiuddin,28.5,228,Beginner,E£199.99,580,
C# Console and Windows Forms Development w/ Entity Framework,C# | .NET Core | Console Programming | Windows Forms | Data-driven development | OOP | GitHub | SQL | Entity Framework,4.7,"Trevoir Williams, Learn IT University, Andrii Piatakha",15.5,56,Beginner,E£199.99,"1,013",Bestseller
"Full Stack Web Development with C# OOP, MS SQL & ASP.NET MVC","Web development with C#, ASP.NET MVC, MS SQL, C# OOP. All gathered for full stack web development in one course!",4.3,"Oak Academy, OAK Academy Team",41.5,297,All Levels,E£199.99,952,Bestseller
Selenium WebDriver with C# from Scratch - Nunit Framework,BRAND NEW COURSE - Become expert level Selenium C# Engineer and learn how to implement Automation framework from Scratch,4.5,Rahul Shetty,s10,60,All Levels,E£199.99,"2,393",NEW
Unity Game Development: Create 2D And 3D Games With C#,Master The Fundamentals Of Game Development And Learn How To Create 2D And 3D Games With Unity Game Engine,4.7,Awesome Tuts,s78,276,Beginner,E£549.99,"1,446",
The Unity C# Survival Guide,Created in partnership with Unity Technologies: Master C# with Unity in this Complete Guide!,4.8,"Jonathan Weinberger, Unity Technologies, GameDevHQ Team",12.5,166,All Levels,E£749.99,"1,750",
Mastering Iterative Object-oriented Development in C#,with practices of Emergent Design,4.7,Zoran Horvat,4.5,60,Intermediate,E£199.99,307,
Unity C# Programming: Ultimate Guide to Game Scripting 2023,Become a professional Unity Programmer and learn to write quality C# Code by creating amazing 2D-Games.,4.7,Andreas Metz,s19,138,Beginner,E£199.99,410,
Unit Testing for C# Developers,"Master unit testing C# code with NUnit and Moq: all about dependency injection, best practices and pitfalls to avoid",4.6,Mosh Hamedani,s6,86,All Levels,E£229.99,"10,533",Bestseller
Object Oriented Programming with C# - Beginner to Advanced,"Detailed step-by-step guide to Classes, Interfaces and many other OOP Concepts - Object-Oriented Programming Concepts",4.6,Tod Vachev,5.5,73,Intermediate,E£219.99,"1,713",
C# OOP: C# Object Oriented Programming on Real C# Projects,"Learn C# OOP with hands-on C# projects and dive in C# intermediate step by step guide to classes, interfaces and C# OOP",4.7,"Oak Academy, OAK Academy Team",7.5,72,All Levels,E£199.99,156,
Build ASP.NET Core Web API - Scratch To Finish (.NET 7 API),"Use C# and Build an ASP.NET Core Web API with Entity Framework Core, SQL Server, Authentication & Authorization | .NET 7",4.6,Sameer Saini,s18,185,All Levels,E£199.99,"3,438",
Design Patterns in C# Made Simple,Using patterns to improve flexibility of the design,4.6,Zoran Horvat,s5,54,Intermediate,E£229.99,431,
