Course Name,Description,Rate,Instructor,Total Hours,lectures,Level,Price,Number Of Rated Users,Bestseller
Learn To Create An Action RPG Game In Unity,Game development made easy. Learn C# using Unity and create your very own action RPG!,4.8,James Doyle,s12,76,Beginner,E£229.99,,
"SaaS Metrics Fundamentals for Managers, Founders & Investors","The Most Comprehensive Course on SaaS Metrics: Bookings, ARR, Churn, Retention, LTV, CAC, Unit Economics and Dashboard",4.6,Jimmy C,2.5,24,Beginner,E£749.99,,Bestseller
"Build 4 Unity® Games: Best 2D, 3D and Multiplayer Tutorials",A runaway success of a Kickstarter funded this course. Improve your C sharp and code architecture. Full game scale.,4.9,"Mammoth Interactive, John Bura",s69,420,All Levels,E£749.99,,
"Selenium, C# and Everything in Between","Learn how to create a powerful cross site, cross browser and cross product dynamic automation tests using C#",4.5,Roei Sabag,10.5,110,All Levels,E£199.99,,
Metroidvania Toolkit: Make a 2D Action Platformer in Unity,Learn to Code with C# and Design a 2D Action Platformer Video Game Using Unity 2020,4.6,Brent Williams,22.5,102,All Levels,E£199.99,,
Android Development Using C# and Visual Studio 2012,Learn to create mobile applications for Android using Mono and C# in this introductory course.,4.5,VTC Software Training,s8,94,All Levels,E£419.99,,
"Practical OAuth, OpenID and JWT in C# .NET Core",Get hands on with these standards and technologies in .NET Core,4.4,Omar McIver,s5,17,Intermediate,E£199.99,,
C# : ASP.NET MVC ~Practise Test for Interviews,ASPDotNeT Multiple choice Question with descriptive Solutions,5.0,Suprio Dutta,,,,E£229.99,,
ASP .NET Core. API User Identity & more + Azure Cloud deploy,"Build web api with user authorization & authentication with C# ASP.NET Core, Entity Framework, Azure + Linux/macOS guide",4.0,Jakub Kozera,4.5,39,Intermediate,E£199.99,,
Unity Game Development: Make Professional 3D Games,Learn To Code In C# And How To Create Stunning 3D Games In Unity Game Engine,4.1,Awesome Tuts,s41,152,All Levels,E£229.99,,
C# Revit API Plugin Creation Forms and Visualizations,"Learn how to set on your addins user interaction and visibility, by managing workflows with decisions to be taken.",4.7,Enrique Galicia,s2,16,Beginner,E£519.99,,
Excel add-in with c# VSTO and web,Excel add-in with c# VSTO and web,3.9,Taurius Litvinavicius,1.5,7,Beginner,E£199.99,,
The Ultimate C# and Unity course for beginners,Learn C# and Unity Coding and Game Development,4.4,Kenneth Andersen,s30,124,Beginner,E£749.99,,
Learn Socket to Create Multiplayer Games with Unity,Learn to use C# Socket library to create a 3D multi-player game.,4.1,Çağrı Şahin,13.5,79,Intermediate,E£419.99,,
MTA 98-361 C# - 6 Real Simulation Practice Tests,6 Full-length MTA 98-361 Software Development Fundamentals Practice Tests with 300 Questions in Total (with feedback).,4.7,Mall Academy,,,,E£229.99,,
Programming C# 6: Advanced,Programming C# 6: Advanced,3.7,Stone River eLearning,s8,97,All Levels,E£229.99,,
Game Development 101: C# and Unity,Master game development with C# and Unity in just 45 minutes,4.7,David Dolynny,s1,11,All Levels,E£199.99,,
Learn to Program by Making Games in Unity,Game development made easy. Learn C# using Unity and create multiple games,4.9,James Doyle,11.5,98,All Levels,E£199.99,,
Unity app development: Make a monetized gaming application,Basic & advanced 3D Game Design with C# Coding. Monetise your games with Ads Suitable for Beginners - Intermediate,4.6,"Mohammed Khan, Mohammed Khan",4.5,23,All Levels,E£199.99,,
AWS Cost Management Tools (Cost Explorer) Crash Course,"Learn everything about AWS Cost Explorer, Cloud Financial Management and Reserved Instance/Savings Plan",4.5,Jimmy C,s2,28,All Levels,E£199.99,,
Learn To Create An Action RPG Game In Unity,Game development made easy. Learn C# using Unity and create your very own action RPG!,4.8,James Doyle,s12,76,Beginner,E£229.99,,
"SaaS Metrics Fundamentals for Managers, Founders & Investors","The Most Comprehensive Course on SaaS Metrics: Bookings, ARR, Churn, Retention, LTV, CAC, Unit Economics and Dashboard",4.6,Jimmy C,2.5,24,Beginner,E£749.99,,Bestseller
"Build 4 Unity® Games: Best 2D, 3D and Multiplayer Tutorials",A runaway success of a Kickstarter funded this course. Improve your C sharp and code architecture. Full game scale.,4.9,"Mammoth Interactive, John Bura",s69,420,All Levels,E£749.99,,
"Selenium, C# and Everything in Between","Learn how to create a powerful cross site, cross browser and cross product dynamic automation tests using C#",4.5,Roei Sabag,10.5,110,All Levels,E£199.99,,
Metroidvania Toolkit: Make a 2D Action Platformer in Unity,Learn to Code with C# and Design a 2D Action Platformer Video Game Using Unity 2020,4.6,Brent Williams,22.5,102,All Levels,E£199.99,,
Android Development Using C# and Visual Studio 2012,Learn to create mobile applications for Android using Mono and C# in this introductory course.,4.5,VTC Software Training,s8,94,All Levels,E£419.99,,
"Practical OAuth, OpenID and JWT in C# .NET Core",Get hands on with these standards and technologies in .NET Core,4.4,Omar McIver,s5,17,Intermediate,E£199.99,,
