Complete UiPath RPA Developer Course: Build 7 Robots,"
Master Robotic Process Automation (RPA) and UiPath - go from beginner to advanced."," 4.7 ",Leon Petrou,"5 ","394 ",All Levels,"E£1,199.99","13,021",True
RPA - Process Automation using UIPATH - Beginner to Expert,"
Automate Desktop Apps, Excel operations, PDF's Data ,Scanned Docs, Web, Files,emails etc using UIPATH - RPA Technology"," 4.5 ",Rahul Shetty,"5 ","62 ",All Levels,E£999.99,"4,063",True
Robotic Process Automation - RPA Overview,"
Get the RPA big picture from a top-ranked, 4-time UiPath MVP!"," 4.5 ",Bryan Lamb,"5 ","28 ",Beginner,E£749.99,"22,922",False
Become RPA Master in Microsoft Power Automate Desktop,"
This Course is designed with 31+ hours & 4 live Projects to learn MS Power Automate Desktop to Automate repetitive Tasks"," 4.4 ",Learning Technologies,"32 ","231 ",All Levels,E£999.99,997,True
Become 100% Confident RPA UiPath Developer- Build 8 Projects,"
Fastrack your RPA Journey || Kick start your RPA UIPATH DEVELOPER career || 100+ RPA Ui Path Interview Questions"," 4.2 ",Sharath Raju,"5 ","196 ",All Levels,E£999.99,570,False
UiPath 2023 - Level 1 RPA Developer,"
Learn UiPath RPA from a 4-time UiPath MVP!"," 4.5 ",Bryan Lamb,"8 ","90 ",Beginner,E£849.99,"11,836",True
UiPath RPA - Level 2,"
Be a confident, job-ready UiPath RPA professional!"," 4.4 ",Bryan Lamb,"8 ","82 ",Intermediate,E£849.99,"2,628",False
How to Implement RPA in your Organization,"
Learn Robotic Process Automation architecture and its project management, create RPA Business Case & crack RPA interview"," 4.2 ",Vineeta Vashistha,"5 ","54 ",All Levels,E£599.99,79,False
Robotic Process Automation (RPA) with OpenRPA,"
Learn how to create RPA automations with OpenRPA, a free open-source RPA tool for individual and business use"," 4.6 ",Marcelo Cruz,"5 ","61 ",Beginner,E£269.99,48,False
UIPath RPA - Tech Primer,"
Increasing your tech skills increases UiPath RPA success!"," 4.6 ",Bryan Lamb,"5 ","55 ",Beginner,E£269.99,"6,170",False
Complete RPA course for RPA Business Analysts,"
Business Analyst guide: Robotic Process Automation lifecycle - uipath, blue prism, automation anywhere (vendor agnostic)"," 2.8 ",Tony Robot,"5 ","46 ",All Levels,E£479.99,291,False
Robotic Process Automation: RPA for Managers and Leaders,"
Introduction to Robotic Process Automation (RPA) and a strategic view to select RPA tools and how to implement RPA"," 4.4 ",Jineesh Thankarajan,"5 ","24 ",Beginner,E£619.99,124,False
Curso Completo de Desenvolvedor RPA com UiPath,"
Torna-te desenvolvedor avançado em RPA com UiPath - De Iniciante a Avançado"," 4.7 ",Marcelo Cruz,"8 ","83 ",All Levels,E£319.99,"1,590",False
Robotic Process Automation - Automation Anywhere 360 / A2019,"
All-in-one course with IQ Bot (AI + ML) & Bot Insight Demos (Analytics) & Advanced Use Cases"," 4.4 ",Mukesh Kumar,"13 ","81 ",All Levels,"E£1,199.99","1,087",False
ROBOCORP : Full-Stack RPA Development. Open-Source RPA Guide,"
Robot-Framework & Python. Excel - PDF - Word - GMail - Selenium - REST - Playwright - GCP - Salesforce - Orchestration."," 4.2 ",Sandip Ganguli,"5 ","45 ",All Levels,E£849.99,120,False
RPA – Máster Automatización de Procesos con UiPath [2023],"
Domina la automatización de procesos RPA con UiPath desde cero"," 4.5 ",Ivan Pinar Domínguez,"4 ","63 ",All Levels,E£349.99,"1,121",False
Automation Anywhere 360/A2019 - Complete RPA Training Course,"
Learn Robotic Process Automation (RPA) with Automation Anywhere (Automation 360) from scratch - Build 7 Robots"," 4.4 ",Marcelo Cruz,"5 ","60 ",All Levels,E£269.99,898,False
