Course Name,Description,Rate,Instructor,Total Hours,lectures,Level,Price,Number Of Rated Users,Bestseller,Original Price
Complete C# Masterclass,"Learn C# Programming - WPF, Databases, Linq, Collections, Game Development with Unity. Unit Testing TDD",4.6,"Instructors:
Denis Panjuta, Tutorials.eu by Denis Panjuta",45.5,392,All Levels,E£219.99,,,"E£1,199.99"
Ultimate C# Masterclass for 2024,"In-depth .NET programming course from basics to advanced. Focus on clean code, performance and practice.",4.7,"Instructor:
Krystyna Ślusarczyk",s43,505,All Levels,E£199.99,,Bestseller,E£999.99
C# 10 | Ultimate Guide - Beginner to Advanced | Master class,Learn C# by doing | C# projects | Bootcamp for C# Interview | Advanced C# | Collections | LINQ | Interview Questions,4.6,"Instructor:
Web University by Harsha Vardhan",s74,426,All Levels,E£199.99,,,E£999.99
C# Basics for Beginners: Learn C# Fundamentals by Coding,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",4.5,"Instructor:
Mosh Hamedani",5.5,87,Beginner,E£349.99,,,"E£1,699.99"
C# .NET Core 8 with MS SQL Complete Beginner to Master 2023,"Learn API Development with C# .NET Core 8 and MS SQL Server from Mac, Linux or Windows!",4.6,"Instructor:
Dominic Tripodi",s23,121,All Levels,E£199.99,,,E£999.99
Complete C# Programming Course – Beginner to Expert,"Learn Professional C# Coding! 27 Hours of Content, 7 Hands-On Projects, 2 Unity 3D Games, 16 Coding Exercises, and more!",4.3,"Instructor:
Robert Gioia",s27,550,All Levels,E£229.99,,,"E£1,299.99"
"C# Intermediate: Classes, Interfaces and OOP","An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",4.5,"Instructor:
Mosh Hamedani",s6,45,Intermediate,E£199.99,,Bestseller,E£999.99
Complete C# Unity Game Developer 2D,"Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",4.7,"Instructors:
GameDev.tv Team, Rick Davidson, Gary Pettie",18.5,140,All Levels,E£349.99,,Bestseller,"E£1,699.99"
C# Advanced Topics: Prepare for Technical Interviews,"Master the confusing C# constructs: Events, Delegates, Lambda Expressions, LINQ, Async/Await and more!",4.5,"Instructor:
Mosh Hamedani",s3,21,Intermediate,E£229.99,,,E£999.99
Design Patterns in C# and .NET,Discover the modern implementation of design patterns with C# and .NET,4.4,"Instructor:
Dmitri Nesteruk",20.5,173,Intermediate,E£199.99,,Bestseller,"E£1,199.99"
Complete C# Unity Game Developer 3D,"Design & Develop Video Games. Learn C# in Unity Engine. Code Your first 3D Unity games for web, Mac & PC.",4.7,"Instructors:
Ben Tristem, Rick Davidson, GameDev.tv Team, Gary Pettie",30.5,205,All Levels,E£229.99,,Bestseller,"E£1,299.99"
