Course Name,Description,Rate,Instructor,Total Hours,lectures,Level,Price,Number Of Rated Users,Bestseller
Getting Started with C#,Learn all you need to know to get started with C#,4.3,Ervis Trupja,3.5,37,Beginner,Free,"1,373",
Programming Fundamentals - The Basics with C# for Beginners,"Learn the basics of programming with C#, this course is perfect for beginners.",4.7,Tod Vachev,s2,18,Beginner,Free,"1,092",
Basics of Object Oriented Programming with C#,"This course will introduce you to the Basics of OOP with C#, followed by a Project to Practice - Warrior Wars!",4.4,Tod Vachev,1.5,22,All Levels,Free,"5,935",
C# From Beginner To Pro - Write A WindowsUI Style App Form,Learn C# By Doing It In Winforms,4.4,Cindy Oakes,7.5,49,All Levels,Free,423,
Learn C# Programming With Database from Scratch,Detailed C# Programming with Database,4.8,Maxwell Taprah,s2,10,All Levels,Free,302,
C#: Start programming with C# (for complete beginners),C# programming for complete beginners. Create first application within few hours!,4.5,Luke's Programming School,3.5,36,Beginner,Free,"1,244",
C# For Absolute Beginners.,Lean the build console apps in C#,4.5,Eric Lane,1.5,20,Beginner,Free,161,
What's New In C# 9,Dive into all of the new features in C# 9!,4.3,Wade Gausden,,21,Beginner,Free,169,New
What is New in C# 8,Learn all the new features and small enhancements added to C# 8 with easy examples,3.9,Ahmad Mohey,s2,19,Intermediate,Free,114,New
C# Refactoring | Powerful code optimization,Introduction to the code refactoring practice in C#,4.2,Max Media,1.5,14,Beginner,Free,182,
Complete guide to C# programming language,"Learn programming using C#, Core concepts related to C#, oops concepts",4.1,Sajal Das,s2,14,Beginner,Free,149,
API and Database Testing with Specflow and C#,Understanding and building API and database testing from groundup,4.5,Karthik KK,1.5,10,All Levels,Free,662,
The complete algorithms course in C# and .Net,Learn the fundamentals of C# and improve your algorithmic skills to become a well paid developer. Let's code in C#!,3.8,Balázs Koncz,s5,26,Beginner,Free,229,
First Steps in Programming with C# for Beginners,Learn Coding by Examples and by Solving Practical Problems with C# and Visual Studio,4.1,"Svetlin Nakov, Preslav Mihaylov",s2,8,Beginner,Free,92,
CRUD C#.Net with Entity Framework,Create Windows App CRUD C#.Net with Entity Framework,4.2,Harry C.,1.5,12,Intermediate,Free,590,
C#.Net Basics Programming Step by Step for Beginners-Part-01,"Learn C# Programming, the techniques to write better C# code and stand out in technical interviews",3.6,RN Reddy IT School,s2,21,All Levels,Free,48,
Basics of LINQ with C# for Beginners,"LINQ with C# for Beginners, Both Query and Method Syntaxes are covered!",4.6,Tod Vachev,1.5,14,Beginner,Free,"1,142",
Learning Unity c# scripting For beginners,"In this course, Chebbi Tawfik goes over the basics of how to create, modify, and attach scripts in Unity. Tawfik focuses",3.5,Chebbi Tawfik,,8,Beginner,Free,343,
Understanding Data Structures using C#,Learn Data structure and algorithms using C#,3.7,SkillBakery Studio,1.5,23,All Levels,Free,90,
.Net Basic Course - Introduction to .net with programming,C-Sharp Basics,3.8,Sravanthi Venishetty,1.5,15,Beginner,Free,488,
