Course Name,Description,Rate,Instructor,Price,Total Hours,lectures,Level,Number Of Rated Users,Bestseller,Original Price,Price Value,Price Currency
Complete UiPath RPA Developer Course: Build 7 Robots,Master Robotic Process Automation (RPA) and UiPath - go from beginner to advanced.,4.7,"Instructor:
Leon Petrou",E£749.99,30.5,394,All Levels,,Bestseller,E£999.99,749.99,E£
RPA - Process Automation using UIPATH - Beginner to Expert,"Automate Desktop Apps, Excel operations, PDF's Data ,Scanned Docs, Web, Files,emails etc using UIPATH - RPA Technology",4.5,"Instructor:
Rahul Shetty",E£199.99,7.5,62,All Levels,,Bestseller,E£999.99,199.99,E£
Robotic Process Automation - RPA Overview,"Get the RPA big picture from a top-ranked, 4-time UiPath MVP!",4.5,"Instructor:
Bryan Lamb",E£199.99,2.5,28,Beginner,,,E£749.99,199.99,E£
Become RPA Master in Microsoft Power Automate Desktop,This Course is designed with 31+ hours & 4 live Projects to learn MS Power Automate Desktop to Automate repetitive Tasks,4.4,"Instructor:
Learning Technologies",E£749.99,32,231,All Levels,,Bestseller,E£999.99,749.99,E£
UiPath 2023 - Level 1 RPA Developer,Learn UiPath RPA from a 4-time UiPath MVP!,4.5,"Instructor:
Bryan Lamb",E£629.99,8,91,Beginner,,Bestseller,E£849.99,629.99,E£
Become 100% Confident RPA UiPath Developer- Build 8 Projects,Fastrack your RPA Journey || Kick start your RPA UIPATH DEVELOPER career || 100+ RPA Ui Path Interview Questions,4.1,"Instructor:
Sharath Raju",E£749.99,17.5,196,All Levels,,,E£999.99,749.99,E£
UiPath RPA - Level 2,"Be a confident, job-ready UiPath RPA professional!",4.5,"Instructor:
Bryan Lamb",E£629.99,8,82,Intermediate,,,E£849.99,629.99,E£
How to Implement RPA in your Organization,"Learn Robotic Process Automation architecture and its project management, create RPA Business Case & crack RPA interview",4.2,"Instructor:
Vineeta Vashistha",E£449.99,2.5,54,All Levels,,,E£599.99,449.99,E£
Robotic Process Automation (RPA) with OpenRPA,"Learn how to create RPA automations with OpenRPA, a free open-source RPA tool for individual and business use",4.6,"Instructor:
Marcelo Cruz",free,5,61,Beginner,,,E£269.99,0,
UIPath RPA - Tech Primer,Increasing your tech skills increases UiPath RPA success!,4.6,"Instructor:
Bryan Lamb",E£199.99,5.5,55,Beginner,,,E£269.99,199.99,E£
